# x y z horizontalRadius verticalRadius
-76.2267 103.94 0.12485 1.84701 2.77051
-23.5954 106.322 2.43076 3.31788 4.97683
83.745 108.255 0.53931 4.41195 6.61792
186.602 108.78 1.1063 2.06675 3.10013
261.775 108.707 1.30632 3.76702 5.65053
227.145 108.825 1.95595 2.77181 4.15771
-74.187 110.148 0 3.23476 4.85214
-56.1246 112.016 0 5.89207 8.8381
-98.597 112.527 0.0212436 6.01486 9.02228
-1.1488 113.725 0 5.90907 8.86361
225.491 143.655 0.216243 1.11027 1.66541
-66.8832 163.34 0.851656 1.7016 2.55239
208.732 145.86 0.327561 0.633519 0.950278
117.834 147.215 0.724766 3.14489 4.71733
-27.3729 147.064 0.872015 1.32239 1.98359
-175.671 147.875 0.213563 2.16829 3.25244
63.1727 147.978 0 4.84844 7.27267
199.815 149.007 0 2.92283 4.38424
15.8587 151.186 0.276576 2.09431 3.14147
